Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Noah Denoyer,,0.0514,0.0595,0.0402,4.40541,0.5415,0.0975,0,0,,1,4.338,0.9814,0.5265,0.48949,0.1358,0.4012,,0.043,0.8954,8.0586,3.6108,2.2318,1.2222,0.206408,0.092485,0.113923468,0.252042,1.3826,0.295396,0.717916,,,4.47368,-0.00390646,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Noah Denoyer,sa3011889,690374
Joe Record,,0.0491,0.0549,0.0182,4.32738,0.7864,0.0454,0,0,,1,4.378,1.0047,0.5223,0.48082,0.1147,0.4417,,0.0436,0.8196,7.3764,3.9753,1.85556,1.0323,0.187209,0.100891,0.086317949,0.258098,1.4464,0.300838,0.718685,,,4.47428,-0.00391327,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Joe Record,sa3008619,682489
Eric Reyzelman,NYY,0.0495,0.0484,0,4.23558,1,0,0,0,,1,4.355,0.904,0.5048,0.47062,0.1396,0.4757,,0.0437,1.059,9.531,4.2813,2.22619,1.2564,0.243169,0.109231,0.133938007,0.235687,1.3797,0.289875,0.738774,,,4.42148,-0.00392689,-0.0475135,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Eric Reyzelman,sa3020611,801432
Ricardo Pinto,,0.0466,0.0513,0,4.45617,1,0,0,0,,1,4.386,1.0669,0.5376,0.49513,0.1182,0.3843,,0.0493,0.7137,6.4233,3.4587,1.85714,1.0638,0.162722,0.0876197,0.075102597,0.269937,1.4512,0.304022,0.710575,,,4.57648,-0.00393824,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Ricardo Pinto,16318,620982
Robbie Erlin,,0.0469,0.0511,0,4.44717,1,0,0,0,,1,4.342,1.035,0.531,0.49413,0.1433,0.3469,,0.043,0.7602,6.8418,3.1221,2.19141,1.2897,0.175081,0.0798941,0.095186554,0.261886,1.3819,0.292495,0.72032,,,4.67868,-0.00396321,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Robbie Erlin,10354,572362
Cade Gibson,MIA,0.0449,0.053,0,4.2696,1,0,0,0,,1,4.386,1.0377,0.5162,0.4744,0.1109,0.4012,,0.0583,0.7574,6.8166,3.6108,1.88784,0.9981,0.172686,0.0914729,0.081212938,0.264281,1.4389,0.303054,0.718815,,,4.47188,-0.00397797,-0.0475326,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Cade Gibson,sa3019914,806188
Andrew Vasquez,,0.0468,0.0511,0,4.44708,1,0,0,0,,1,4.401,1.0318,0.5331,0.49412,0.1286,0.387,,0.0755,0.7726,6.9534,3.483,1.99638,1.1574,0.175551,0.0879346,0.087616451,0.261978,1.4188,0.297369,0.714989,,,4.68058,-0.003995,-0.0475356,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Andrew Vasquez,19482,607755
Jorge Mercedes,MIA,0.0445,0.0534,0,4.40883,1,0,0,0,,1,4.403,0.933,0.5258,0.48987,0.1264,0.5121,,0.0463,1.0052,9.0468,4.6089,1.9629,1.1376,0.228299,0.116307,0.111991838,0.242678,1.4451,0.297309,0.72492,,,4.47448,-0.00400748,-0.0475326,999,,,,,,,3.8,3.8,4,4,,,,,,,,,,,,,,,,,,,Jorge Mercedes,sa3019110,682724
Trevor Lane,,0.0479,0.05,0,4.24611,1,0,0,0,,1,4.363,0.9565,0.5083,0.47179,0.1282,0.4516,,0.0436,0.9178,8.2602,4.0644,2.03233,1.1538,0.21036,0.103507,0.106853098,0.247298,1.4081,0.293536,0.732366,,,4.48308,-0.00401316,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Trevor Lane,sa918196,670065
Zac Houston,,0.0477,0.0503,0,4.29894,1,0,0,0,,1,4.401,0.9058,0.5137,0.47766,0.1235,0.5118,,0.0726,1.021,9.189,4.6062,1.99492,1.1115,0.231993,0.116292,0.11570099,0.237332,1.4176,0.292766,0.726199,,,4.48318,-0.00401429,-0.0475359,999,,,,,,,3.8,3.8,4,4,,,,,,,,,,,,,,,,,,,Zac Houston,sa874155,667677
