#1 Twins,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Max Scherzer  ,5,9.4,2.2,1.4,0.282,73.40%,3.85,3.85,0
Total,440,8.9,3.4,1.1,0.289,72.90%,3.96,4,2.5
,,,,,,,,,
,,,,,,,,,
#14 Brewers,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Trevor Megill,52,11,3.4,1.1,0.3,76.00%,3.5,3.38,0.8
Jared Koenig,51,9,3.3,0.9,0.293,73.40%,3.67,3.69,0.4
Abner Uribe,50,10.9,5.1,0.8,0.283,74.20%,3.53,3.6,0.5
Grant Anderson,49,9.3,3.7,1.2,0.293,72.20%,4.22,4.19,0
Craig Yoho,47,10.2,3.7,0.9,0.294,73.20%,3.64,3.62,0.2
Nick Mears,46,10.8,4.1,0.9,0.297,74.40%,3.59,3.39,0.3
Joel Payamps,45,8.6,3.1,1.1,0.285,72.80%,3.84,3.87,0
Bryan Hudson,44,9.6,3.9,0.9,0.284,74.30%,3.61,3.78,0.1
Tyler Alexander,42,7.8,2.3,1.6,0.286,71.30%,4.45,4.45,0
Elvis Peguero,37,8.2,3.9,0.9,0.297,71.30%,4.03,3.96,0
Aaron Ashby  ,29,9.3,4.4,0.8,0.302,74.70%,3.6,3.77,0
Quinn Priester,28,7.5,3.2,1,0.278,73.00%,3.74,4.04,0
Elvin Rodriguez,27,8,3,1.7,0.288,70.30%,4.92,4.92,-0.1
Jacob Misiorowski,23,10.3,4.4,1,0.288,74.50%,3.77,3.92,0
DL Hall  ,20,10.1,3.9,1,0.291,75.80%,3.52,3.69,0
Chad Patrick,20,7.8,3,1.4,0.286,71.30%,4.41,4.43,0
Connor Thomas  ,19,6.5,2.5,1.1,0.297,71.10%,4.14,4.18,0
Nestor Cortes  ,15,9.2,2.6,1.4,0.281,74.00%,3.95,3.98,0
Logan Henderson,15,9.6,2.9,1.4,0.282,72.30%,4.17,4.1,0
Carlos Rodriguez,12,8.5,3.3,1.3,0.281,73.20%,4.2,4.38,0
Aaron Civale  ,10,8.4,2.8,1.5,0.288,71.40%,4.47,4.44,0
Tobias Myers,8,8.1,3,1.4,0.288,72.00%,4.36,4.39,0
Total,460,9.3,3.6,1.1,0.29,73.20%,3.88,3.9,2.4
,,,,,,,,,
,,,,,,,,,
#15 Rangers,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Luke Jackson,52,9.2,3.9,1.1,0.294,72.60%,4.13,4.08,0.2
Chris Martin,47,9.5,1.8,0.9,0.301,73.00%,3.3,2.95,1
Robert Garcia,51,10.2,3.4,0.8,0.294,73.00%,3.49,3.27,0.8
Hoby Milner,51,8.4,2.6,0.9,0.302,71.20%,3.83,3.58,0.4
Jacob Webb,48,9,3.7,1.2,0.291,70.00%,4.44,4.21,0.1
Jacob Latz,45,8.9,4.7,1.2,0.29,71.90%,4.46,4.46,0
Shawn Armstrong,44,9.1,3.1,1.1,0.303,70.80%,4.13,3.81,0.1
Cole Winn,49,8.1,4.1,1.2,0.295,72.10%,4.49,4.53,-0.1
Josh Sborz  ,39,9.7,3.8,1.1,0.295,73.90%,3.88,3.82,0
Marc Church  ,34,9.2,4.3,1.2,0.292,70.30%,4.53,4.29,0
Gerson Garabito,31,8,3,1.3,0.296,68.80%,4.52,4.36,0
Caleb Boushley,30,6.4,2.1,1.3,0.295,68.60%,4.58,4.34,0
Cody Bradford  ,27,8.4,2,1.4,0.287,73.40%,3.95,3.93,0
Hunter Strickland,23,7.6,4,1.4,0.289,70.90%,4.86,4.87,0
Patrick Murphy  ,21,8.5,3.9,1,0.3,72.80%,4.04,4.07,0
Emiliano Teodo,20,9.4,4.7,1,0.296,73.70%,4.02,4.13,0
Luis Curvelo,17,7.9,3.7,1.3,0.292,71.60%,4.56,4.59,0
Jack Leiter,15,9,4.1,1.2,0.291,68.80%,4.7,4.4,0
Dane Dunning,11,8.4,3.1,1.2,0.3,69.90%,4.37,4.14,0
Jon Gray  ,10,8.2,2.9,1.2,0.297,71.90%,4.25,4.15,0
Adrian Houser,8,6.6,3.3,1.1,0.305,70.70%,4.53,4.44,0
Kumar Rocker  ,7,8.6,2.7,1.1,0.301,70.30%,4.12,3.78,0
Total,486,8.8,3.4,1.1,0.295,71.60%,4.16,4.02,2.3
,,,,,,,,,
,,,,,,,,,
#16 Athletics,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Mason Miller,55,13.6,3,0.8,0.283,78.90%,2.54,2.33,1.9
Tyler Ferguson,52,9.2,4.4,1,0.294,71.40%,4.22,4.2,0.2
Justin Sterner,50,9.1,3.8,1.1,0.291,71.80%,4.17,4.11,0.2
T.J. McFarland,49,6.1,3.1,0.9,0.303,70.30%,4.22,4.19,0.1
Grant Holman,47,7.8,3.4,1.1,0.295,71.10%,4.25,4.2,0
Michel Otañez  ,46,10.6,5,0.9,0.292,74.80%,3.73,3.88,0.2
Noah Murdock,45,7.6,5.9,0.9,0.299,69.40%,4.84,4.89,-0.1
Carlos Duran,43,7.9,4.5,1.2,0.293,71.20%,4.7,4.77,-0.1
Hogan Harris,39,8.2,4.3,1.1,0.292,71.70%,4.42,4.49,0
Mitch Spence,36,7.3,2.7,1.1,0.3,70.80%,4.24,4.13,0
Jacob Lopez,31,8.9,4,1.1,0.291,72.40%,4.1,4.2,0
Dylan Floro,27,6.8,3.1,1.1,0.303,71.10%,4.35,4.26,0
José Leclerc  ,24,10,4.4,1.2,0.285,72.70%,4.21,4.2,0
Jason Alexander,20,6.5,2.4,1.1,0.302,69.70%,4.32,4.18,0
Gunnar Hoglund,18,6.7,2.8,1.4,0.291,70.50%,4.62,4.65,0
Elvis Alvarado,16,8.3,4.5,1.1,0.291,72.50%,4.36,4.51,0
Osvaldo Bido,14,7.6,3.7,1.3,0.29,68.10%,4.88,4.76,0
Joey Estes,13,6.6,2.5,1.7,0.283,67.30%,5.17,5.16,0
J.T. Ginn  ,11,7.2,3.3,1.1,0.301,69.60%,4.49,4.41,0
Brady Basso  ,11,8.2,2.6,1.1,0.292,73.60%,3.81,3.89,0
Michael Kelly  ,8,8.3,3.8,1.2,0.293,72.20%,4.36,4.37,0
Ryan Cusick,7,7.2,5.1,1.2,0.293,71.20%,4.89,5.05,0
Jeffrey Springs,7,8.7,3.1,1.3,0.294,73.40%,4.1,4.07,0
Total,467,8.5,3.9,1.1,0.294,71.70%,4.19,4.17,2.3
,,,,,,,,,
,,,,,,,,,
#17 Giants,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Ryan Walker,55,10.6,2.8,0.7,0.303,74.80%,2.99,2.83,1
Tyler Rogers,57,6.7,1.9,0.9,0.3,71.40%,3.69,3.62,0.4
Camilo Doval,51,10.6,4.1,0.6,0.301,74.00%,3.32,3.18,0.5
Erik Miller,50,10.9,4.9,0.8,0.294,75.20%,3.54,3.54,0.3
Randy Rodríguez,48,9.4,3.9,0.9,0.296,72.70%,3.84,3.8,0.1
Lou Trivino,46,8.4,3.8,1.2,0.306,70.90%,4.49,4.31,-0.1
Spencer Bivens,43,7,3.2,1,0.302,70.70%,4.31,4.28,-0.1
Sean Hjelle,41,7.6,2.5,0.8,0.308,72.20%,3.62,3.51,0.1
Keaton Winn  ,37,8.4,2.5,0.9,0.302,72.70%,3.56,3.45,0
Tristan Beck,34,7.9,2.6,1,0.294,72.60%,3.85,3.82,0
Mason Black,33,8.6,3,1,0.293,72.50%,3.88,3.83,0
Trevor McDonald,31,7.4,3.1,0.8,0.303,72.00%,3.82,3.83,0
Joel Peguero,28,6.8,3.7,1,0.3,71.00%,4.41,4.41,-0.1
Carson Ragsdale,23,8.6,3.5,1.1,0.291,72.80%,4,3.99,0
Hayden Birdsong,21,9.5,4,1,0.292,71.30%,4.13,3.99,0
Kyle Harrison,20,9.5,3.3,1.1,0.292,73.30%,3.84,3.78,0
Carson Seymour,18,7.7,2.8,0.8,0.303,72.50%,3.6,3.57,0
Jordan Hicks,15,8.1,4,0.8,0.304,71.30%,4.06,3.98,0
Landen Roupp,13,8.9,3.6,0.9,0.294,72.00%,3.89,3.72,0
Joey Lucchesi,11,6.3,3.3,0.9,0.301,71.60%,4.13,4.19,0
Antonio Jimenez,9,7.1,3.9,1,0.295,72.40%,4.22,4.37,0
Carson Whisenhunt,8,8.6,3.2,1,0.293,73.50%,3.74,3.78,0
Ethan Small  ,7,8.1,3.7,1,0.29,73.50%,3.95,4.09,0
Total,461,8.6,3.3,0.9,0.299,72.50%,3.79,3.72,2.2
,,,,,,,,,
,,,,,,,,,
#18 Pirates,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
David Bednar,52,9.8,3.4,1,0.296,73.70%,3.69,3.54,0.8
Dennis Santana  ,51,8.2,3.6,0.8,0.296,70.90%,3.98,3.77,0.4
Caleb Ferguson,52,9,3.9,0.6,0.309,72.60%,3.64,3.51,0.6
Colin Holderman,49,8.9,3.9,1,0.299,71.20%,4.13,4,0.2
Ryan Borucki,46,8.9,3.9,1,0.298,73.60%,3.9,4,0.1
Joey Wentz,54,8.8,3.9,1.1,0.302,71.70%,4.34,4.14,0.1
Kyle Nicolas,42,8.9,4.9,1,0.301,71.60%,4.48,4.43,-0.1
Chase Shugart,40,6.9,3.4,1.1,0.301,70.40%,4.53,4.45,0
Hunter Stratton,39,8.3,3.6,1,0.297,70.20%,4.3,4.14,0
Mike Burrows,37,8.1,3.4,1.1,0.293,72.20%,4.18,4.15,0
Justin Lawrence  ,33,8.6,4.4,0.8,0.306,70.80%,4.17,4.05,0
Carmen Mlodzinski,26,7.5,3.6,0.9,0.297,71.00%,4.2,4.07,0
Tanner Rainey,24,8,4.5,1.3,0.287,71.50%,4.74,4.8,0
Tim Mayza  ,23,7,3,0.9,0.306,72.10%,4.04,3.97,0
Dauri Moreta  ,21,9.3,3.9,1.1,0.292,72.90%,4.08,4.01,0
Braxton Ashcraft,20,7.3,2.7,1,0.302,71.30%,4.1,3.97,0
Bailey Falter,18,6.7,2.7,1.3,0.293,70.10%,4.54,4.44,0
Johan Oviedo  ,15,7.6,3.9,1,0.301,71.00%,4.42,4.35,0
Thomas Harrington,14,7.3,2.7,1.3,0.294,69.90%,4.5,4.35,0
Peter Strzelecki,12,7.5,3.7,1.1,0.298,70.70%,4.52,4.43,0
Andrew Heaney,10,8.3,2.9,1.2,0.304,70.40%,4.41,4.2,0
Jared Jones  ,7,9.2,3.2,1.1,0.293,73.10%,3.85,3.78,0
Total,458,8.4,3.7,1,0.299,71.60%,4.16,4.06,2
,,,,,,,,,
,,,,,,,,,
#19 Tigers,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Will Vest,54,8.9,3,0.8,0.296,73.60%,3.49,3.4,0.7
Tommy Kahnle,51,9.1,3.9,0.9,0.288,72.70%,3.76,3.78,0.3
Tyler Holton,52,8,2.5,0.9,0.279,72.50%,3.52,3.57,0.5
Brant Hurter,49,7.3,2.2,1,0.295,70.80%,3.88,3.85,0.2
Brenan Hanifee,46,6.9,2.4,0.9,0.298,71.50%,3.82,3.77,0.2
Kenta Maeda,55,8.4,2.7,1.3,0.294,69.80%,4.41,4.17,0.1
Sean Guenther,43,7.3,2.6,0.9,0.301,71.90%,3.86,3.8,0
Beau Brieske  ,42,8.2,3.4,1.1,0.286,71.10%,4.19,4.12,0
Chase Lee,39,8.5,3.3,0.9,0.299,71.80%,3.85,3.8,0
John Brebbia  ,34,9.4,3.4,1.2,0.294,71.00%,4.21,4.03,0
Jason Foley  ,33,7.7,2.8,0.8,0.302,72.50%,3.68,3.62,0
Andrew Chafin,32,9.5,4.1,0.9,0.292,74.60%,3.73,3.8,0
Bailey Horn,26,8.1,4.7,1.1,0.292,71.50%,4.55,4.58,0
Matt Manning,23,7.5,3.1,1.1,0.29,72.30%,4.1,4.15,0
Alex Lange  ,20,9.9,4.6,0.8,0.297,74.00%,3.7,3.75,0
Tyler Owens,17,6.8,3.7,1.1,0.295,71.30%,4.43,4.5,0
Sawyer Gipson-Long  ,15,8.2,2.5,1,0.293,72.60%,3.76,3.71,0
Ty Madden  ,13,8.4,3.1,1.1,0.288,72.90%,3.86,3.87,0
Tyler Mattison,11,8.7,4.1,1.1,0.288,73.20%,4.06,4.15,0
Keider Montero,10,7.7,3.3,1.3,0.292,70.50%,4.49,4.47,0
Jackson Jobe,8,6.8,3.6,1.4,0.283,70.10%,4.74,4.83,0
Dietrich Enns,7,8.1,3,1,0.29,73.90%,3.76,3.9,0
Jordan Balazovic,5,7.6,3.5,0.9,0.298,72.50%,4,4.03,0
Total,467,8.2,3.1,1,0.293,72.00%,3.93,3.89,1.9
,,,,,,,,,
,,,,,,,,,
#20 Mariners,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Andrés Muñoz,53,12,3.6,0.6,0.289,77.30%,2.66,2.65,1.3
Gabe Speier,51,9.7,2.8,1,0.292,74.30%,3.4,3.42,0.6
Collin Snider,50,7.9,3.6,1.1,0.293,72.30%,4.16,4.24,0
Trent Thornton,53,8.7,2.7,1.3,0.29,72.20%,4.06,4.03,0
Eduard Bazardo,48,8.5,3.3,1,0.289,71.70%,3.98,3.9,0.1
Carlos Vargas,48,7.3,3.6,1,0.295,72.20%,4.1,4.24,-0.1
Matt Brash  ,46,11.2,3.8,0.8,0.288,77.10%,2.99,3.13,0.1
Troy Taylor,44,8.8,3.6,1.1,0.29,72.00%,4.11,4.18,0
Casey Legumina,43,7.9,3.2,1.1,0.293,71.50%,4.19,4.16,0
Tayler Saucedo,39,8.4,4.1,0.8,0.295,71.50%,3.99,4.01,0
Jackson Kowar  ,34,8.7,4,1.1,0.289,73.40%,4.02,4.19,0
Will Klein,29,8.9,5.1,1,0.286,73.90%,4.14,4.43,-0.1
Gregory Santos  ,28,8.9,3.5,0.6,0.309,74.30%,3.3,3.26,0.1
Jhonathan Díaz,23,7.4,3.4,0.9,0.298,71.00%,4.1,4.18,0
Shintaro Fujinami,21,9.6,4.9,1,0.284,74.20%,3.98,4.24,0
Blas Castano,18,6.9,2.9,1.1,0.291,72.30%,3.99,4.2,0
Luis F. Castillo,17,7.2,3.4,1.2,0.292,72.10%,4.28,4.42,0
Brandyn Garcia,15,8.3,3.7,0.9,0.291,74.60%,3.58,3.92,0
Logan Evans,12,6.7,3.2,1.2,0.295,69.80%,4.54,4.54,0
Emerson Hancock,11,6.6,3,1.4,0.287,70.20%,4.61,4.7,0
Trevor Gott  ,8,8.3,3.1,1.2,0.286,73.10%,4,4.11,0
Sauryn Lao,7,8.5,2.4,1.2,0.304,72.40%,3.98,3.86,0
Josh Fleming,5,5.7,2.8,0.9,0.299,73.60%,3.75,4.1,0
Total,450,8.8,3.5,1,0.292,73.10%,3.83,3.9,1.8
,,,,,,,,,
,,,,,,,,,
#21 Angels,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Kenley Jansen,50,10.2,3.4,1.1,0.282,73.30%,3.79,3.64,0.8
Ben Joyce  ,40,10.6,4.1,0.9,0.296,73.00%,3.67,3.65,0.4
Ryan Zeferjahn,52,9.7,4.4,1.2,0.293,71.30%,4.42,4.38,0.1
Brock Burke,54,9,3.3,1.1,0.294,73.30%,3.98,3.97,0.3
Ryan Johnson,51,8.9,3.7,1.2,0.296,73.30%,4.12,4.15,0.2
Reid Detmers,50,10.1,3.1,1.2,0.295,72.30%,3.9,3.68,0.3
Jose Fermin,46,8.9,4.3,1.3,0.291,73.00%,4.41,4.49,0
Garrett McDaniels,43,7.1,4.2,1,0.303,70.50%,4.58,4.58,-0.1
Jake Eder,40,8.3,4.2,1.3,0.295,71.20%,4.6,4.66,-0.1
Michael Darrell-Hicks,36,7.3,3.1,1.2,0.3,68.50%,4.69,4.54,0
Robert Stephenson  ,35,10.2,3.3,1.3,0.287,74.50%,3.92,3.9,0
Chase Silseth,32,8.4,4,1.2,0.296,72.60%,4.31,4.38,0
José Quijada,30,10.4,4.8,1.2,0.287,75.20%,4,4.19,0
Héctor Neris,26,9.4,3.9,1.3,0.291,73.00%,4.22,4.26,0
Connor Brogdon,19,8.2,3.7,1.4,0.289,72.10%,4.54,4.6,0
Victor Mederos,18,6.9,4.1,1.3,0.302,69.10%,5.03,5.04,-0.1
Caden Dana,14,7.8,3.5,1.5,0.29,68.90%,4.94,4.84,0
Victor González,12,7.4,4.6,1,0.301,72.90%,4.35,4.61,0
Jack Kochanowicz,8,5.1,2.7,1.3,0.301,67.80%,4.92,4.9,0
Sam Bachman  ,7,7.5,4,1.1,0.299,72.00%,4.43,4.53,0
Total,468,9,3.8,1.2,0.294,72.20%,4.24,4.23,1.8
,,,,,,,,,
,,,,,,,,,
#22 Diamondbacks,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Justin Martinez,55,11.3,4.7,0.5,0.306,75.40%,3.13,3.09,0.9
Shelby Miller,51,9,3.4,1,0.291,71.80%,3.87,3.74,0.2
Kevin Ginkel,50,9.6,3.1,0.9,0.304,73.60%,3.53,3.33,0.5
Ryan Thompson,49,7.4,2.8,0.9,0.3,72.70%,3.79,3.78,0.2
Jalen Beeks,48,8.3,3.5,0.9,0.305,74.70%,3.66,3.75,0.2
Juan Morillo,46,8,5.1,1,0.305,72.70%,4.47,4.54,-0.2
Scott McGough,44,8.5,3.9,1,0.301,72.80%,4.12,4.08,0
Kendall Graveman  ,41,8.6,4,0.9,0.306,72.10%,4.12,4,0
Ryne Nelson,39,7.5,2.4,1.2,0.296,72.00%,4.06,4,0
Yilber Díaz,35,8.7,4.2,1.1,0.297,72.30%,4.28,4.26,0
Drey Jameson,33,7.9,3.1,1,0.302,72.20%,3.97,3.93,0
A.J. Puk  ,31,11.1,3.1,1,0.3,76.50%,3.27,3.25,0.1
Joe Mantiply,30,7.6,2.8,0.9,0.306,72.00%,3.93,3.77,0
Bryce Jarvis,23,7.5,4.1,1,0.298,71.70%,4.37,4.42,0
Kyle Nelson,21,8.3,3.5,1.1,0.299,72.70%,4.12,4.09,0
Tommy Henry,20,7.6,3.3,1.1,0.299,72.40%,4.22,4.24,0
Andrew Saalfrank  ,18,8.1,4.6,0.7,0.31,73.60%,3.86,3.97,0
John Curtiss,16,6.3,3.2,1.3,0.297,70.00%,4.85,4.75,0
Kyle Amendt,13,9.3,4.3,1,0.298,73.20%,4.01,3.97,0
Cristian Mena,11,8.1,3.5,1,0.303,71.80%,4.13,4,0
J.P. Feyereisen,10,7.2,3.3,1.2,0.289,72.10%,4.34,4.4,0
Brandon Pfaadt,7,8.7,2.1,1.2,0.301,71.60%,3.94,3.66,0
Eduardo Rodriguez,7,8.5,2.7,1.1,0.299,73.40%,3.87,3.77,0
Total,436,8.6,3.6,1,0.301,72.90%,3.92,3.88,1.6
,,,,,,,,,
,,,,,,,,,
#23 Rays,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Pete Fairbanks,51,9.9,3.7,0.8,0.293,74.10%,3.5,3.4,0.8
Garrett Cleavinger,50,11.1,4,1.1,0.294,74.00%,3.72,3.69,0.4
Edwin Uceta,52,9.5,3.7,1.2,0.29,71.90%,4.2,4.14,0.1
Manuel Rodríguez,49,8.9,3.2,0.9,0.301,72.20%,3.69,3.61,0.3
Mason Montgomery,48,9,3.4,1.2,0.291,72.50%,4.12,4.09,0
Hunter Bigge,47,9.4,4.3,1.3,0.296,72.50%,4.51,4.47,-0.1
Mason Englert,45,8.2,2.8,1.2,0.298,70.90%,4.27,4.14,0
Eric Orze,44,9,3.9,1.1,0.294,73.00%,4.02,4.04,0
Cole Sulser,39,8.4,4,1.3,0.292,71.80%,4.49,4.43,0
Kevin Kelly  ,38,7.9,2.4,1,0.3,70.90%,3.87,3.81,0
Joe Boyle,36,10.7,5.8,1,0.295,72.40%,4.26,4.2,0
Alex Faedo  ,34,9,3.4,1.3,0.294,73.00%,4.28,4.24,0
Jacob Waguespack,30,8.9,3.5,1.1,0.298,73.30%,3.99,3.97,0
Jonathan Hernández  ,23,8.3,4.7,1,0.304,73.00%,4.26,4.35,0
Drew Rasmussen,21,8.9,2.3,0.8,0.293,73.30%,3.3,3.14,0.1
Nate Lavender,20,9.3,4.4,1.2,0.292,74.20%,4.1,4.27,0
Joey Gerber,18,8.5,4.1,1.3,0.294,72.30%,4.57,4.57,0
Joe Rock,16,7.3,2.7,1.2,0.298,72.60%,4.09,4.18,0
Ian Seymour,14,8.4,3,1.3,0.29,72.90%,4.21,4.3,0
Cole Wilcox,12,6.5,2.9,1.1,0.304,71.30%,4.3,4.33,0
Shane Baz,10,8.9,3.3,1.2,0.291,71.60%,4.14,4.07,0
Zack Littell,8,7.4,2.2,1.5,0.298,70.60%,4.54,4.39,0
Shane McClanahan  ,7,9.9,2.8,1.1,0.299,75.00%,3.49,3.42,0
Total,476,9.1,3.6,1.1,0.295,72.60%,4.06,4.03,1.5
,,,,,,,,,
,,,,,,,,,
#24 Cardinals,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Ryan Helsley,54,10.8,3.6,0.8,0.28,76.30%,3.1,3.1,1.2
Phil Maton,53,8.7,3.2,1,0.293,71.90%,3.87,3.95,0.3
JoJo Romero,52,8.8,3.4,0.9,0.295,74.20%,3.64,3.75,0.2
Kyle Leahy,51,7.4,3.3,1.1,0.297,71.90%,4.15,4.19,0
John King,49,5.9,2.8,0.8,0.303,72.70%,3.76,3.88,0.1
Riley O'Brien,46,9.2,4.5,0.9,0.301,72.90%,4.04,4.15,0.1
Matt Svanson,44,6.3,3.4,1,0.302,70.00%,4.46,4.5,-0.1
Roddery Muñoz,44,8,3.9,1.4,0.29,71.50%,4.63,4.72,-0.2
Gordon Graceffo,39,6.4,2.9,1.2,0.29,70.00%,4.49,4.47,-0.1
Ryan Fernandez,33,8.6,3.6,1,0.294,72.20%,4.01,3.89,0
Chris Roycroft,32,7.4,4.4,0.8,0.298,71.10%,4.26,4.25,0
Matthew Liberatore,31,8.1,3,0.9,0.294,71.60%,3.86,3.78,0
Steven Matz,29,7.7,2.7,1,0.302,71.80%,3.92,3.77,0
Michael McGreevy,26,6.4,2.2,1,0.3,72.00%,3.84,3.87,0
Nick Anderson,21,7.7,3.4,1.2,0.291,72.80%,4.22,4.34,0
Zack Thompson  ,20,9.1,3.9,1,0.292,75.00%,3.65,3.87,0
Sem Robberse,18,7.5,2.8,1.1,0.293,72.80%,3.93,4.02,0
Andre Pallante,16,6.5,3.6,0.8,0.303,70.90%,4.16,4.09,0
Andre Granillo,13,8.2,4.7,1.3,0.285,72.60%,4.57,4.75,0
Ryan Loutos,11,7,3.7,1.1,0.297,72.00%,4.32,4.42,0
Quinn Mathews,10,8.2,4,1,0.293,73.40%,4.04,4.23,0
Max Rajcic,8,6.8,3,1.2,0.291,71.50%,4.39,4.5,0
Alex Cornwell,7,6.5,3.2,0.9,0.3,73.20%,3.85,4.09,0
Total,460,7.9,3.4,1,0.295,72.30%,4,4.05,1.4
,,,,,,,,,
,,,,,,,,,
#25 Cubs,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Ryan Pressly,50,8.8,3.1,0.9,0.301,73.30%,3.64,3.49,0.5
Porter Hodge,51,9.8,4.4,0.9,0.29,72.70%,3.84,3.85,0.3
Daniel Palencia,51,10,4.5,1,0.293,72.70%,4,3.96,0
Julian Merryweather,50,9.9,3.9,0.9,0.299,73.80%,3.67,3.57,0.3
Brad Keller,47,7.6,3.8,1,0.299,71.70%,4.26,4.25,-0.1
Caleb Thielbar,46,9.7,3.7,1,0.292,74.00%,3.77,3.7,0.2
Drew Pomeranz,45,9.4,4,0.9,0.289,75.70%,3.52,3.8,0.1
Tyson Miller  ,42,8.2,3.1,1.2,0.291,72.40%,4.15,4.18,0
Nate Pearson,41,9.3,4,1.2,0.291,72.00%,4.32,4.29,0
Ryan Brasier  ,36,8.5,2.7,0.9,0.286,72.90%,3.48,3.41,0.1
Tom Cosgrove,31,8.2,4,1,0.292,69.80%,4.28,4.21,0
Ethan Roberts,29,8.8,3.5,1.2,0.299,71.40%,4.32,4.27,0
Luke Little,24,10.6,5.4,0.7,0.288,74.00%,3.6,3.81,0
Chris Flexen,23,6.6,3.3,1.4,0.293,70.80%,4.85,4.85,-0.1
Gavin Hollowell,21,9.1,3.9,1.1,0.294,71.10%,4.22,4.15,0
Jordan Wicks,20,7.8,3,1.1,0.293,72.20%,4.09,4.11,0
Michael Fulmer,18,9.1,3.9,1.2,0.299,72.40%,4.24,4.17,0
Eli Morgan  ,15,8.2,2.8,1.4,0.285,72.20%,4.26,4.28,0
Jack Neely,11,9,4,1.2,0.287,73.40%,4.16,4.25,0
Javier Assad  ,10,7.5,3.6,1.2,0.297,71.60%,4.47,4.47,0
Ben Brown,8,9.7,3.7,1,0.292,72.50%,3.85,3.74,0
Colin Rea,7,7.3,2.5,1.3,0.294,70.00%,4.4,4.27,0
Matthew Boyd,5,8.7,3,1.1,0.291,72.30%,3.97,3.93,0
Total,466,9,3.7,1,0.293,72.70%,3.98,3.97,1.2
,,,,,,,,,
,,,,,,,,,
#26 Reds,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Emilio Pagán,53,9.3,2.9,1.6,0.281,71.70%,4.51,4.43,0.2
Alexis Díaz,50,9.2,4.7,1.1,0.278,69.80%,4.4,4.39,0.2
Tony Santillan,51,9.7,4.1,1.3,0.295,71.10%,4.5,4.34,0.1
Taylor Rogers,49,10.1,3.8,1.2,0.31,71.40%,4.37,4.05,0.3
Graham Ashcraft,53,7.6,2.9,1,0.305,68.80%,4.4,4.04,0.2
Scott Barlow,48,9.9,4.1,1.1,0.3,71.70%,4.24,4,0.1
Brent Suter,47,6.8,2.7,1.2,0.301,70.70%,4.49,4.37,0
Lyon Richardson,43,8.4,4.4,1.3,0.3,69.90%,4.84,4.7,-0.1
Sam Moll  ,38,8.8,4.3,1.1,0.298,70.00%,4.52,4.37,0
Luis Mey,30,7.7,6,1.2,0.302,71.30%,5.13,5.26,-0.1
Ian Gibaut  ,28,8.6,3.6,1.3,0.305,70.20%,4.63,4.33,0
Carson Spiers  ,27,7.8,3.2,1.5,0.3,69.00%,5.02,4.83,0
Yosver Zulueta,26,8.6,4.4,0.9,0.307,72.80%,4.14,4.18,0
Zach Maxwell,23,9.2,5.2,1.3,0.294,72.80%,4.66,4.75,0
Connor Phillips  ,21,9.6,4.3,1.2,0.295,73.20%,4.29,4.31,0
Chase Petty,18,7.4,3.4,1.3,0.298,71.40%,4.61,4.61,0
Andrew Moore,15,9.1,5.5,1.2,0.298,72.70%,4.63,4.73,0
Nick Martinez,11,7.7,2.5,1.2,0.299,71.30%,4.18,3.99,0
Rhett Lowder  ,11,7.2,3.1,1.3,0.301,70.90%,4.55,4.49,0
Randy Wynne,9,5.3,2.2,1.8,0.297,67.30%,5.46,5.3,0
