Name,Team,Stuff+,Location+,TTO%,NameASCII,PlayerId,MLBAMID
"Carl Edwards Jr.","- - -",87.3206779661017,92.55016949152542,0.375,"Carl Edwards Jr.",13607,605218
"Mike Yastrzemski","SFG",59.77448275862069,32.37931034482759,0.375,"Mike Yastrzemski",14854,573262
"Josh Rojas","SEA",63.24148148148148,93.95629629629629,0.375,"Josh Rojas",19734,668942
"Vidal Bruján","MIA",40.38436363636363,83.01454545454546,0.375,"Vidal Brujan",20536,660644
"Brooks Kriske","CHC",94.48129032258063,58.73612903225807,0.375,"Brooks Kriske",21189,621139
"Elvis Alvarado","ATH",108.76508196721312,83.01409836065574,0.375,"Elvis Alvarado",21662,665660
"Sauryn Lao","SEA",75.979,84.7995,0.375,"Sauryn Lao",21922,666659
"Paxton Schultz","TOR",94.55144475920679,98.91750708215297,0.375,"Paxton Schultz",25501,687606
"Jared Jones","PIT",103.78157949790793,104.89171548117157,0.375,"Jared Jones",27863,683003
"Paul Gervase","TBR",91.1576,70.88959999999999,0.375,"Paul Gervase",31571,801434
"Alex Faedo","DET",97.27779636143055,97.43154353026353,0.37398374,"Alex Faedo",19874,656412
"Tim Herrin","CLE",99.57235477865234,96.15212764714747,0.37398374,"Tim Herrin",25139,682120
"Jose Cuas","- - -",98.183197492163,85.09742946708462,0.37349398,"Jose Cuas",17701,621016
"Sonny Gray","STL",97.04707618661158,104.18449896788597,0.37328094,"Sonny Gray",12768,543243
"Ryan Walker","SFG",111.02444208716963,102.33810394249403,0.37327189,"Ryan Walker",20423,676254
"Sam Long","KCR",100.36645396643473,95.29810272615637,0.37327189,"Sam Long",25379,669674
"Cam Booser","- - -",111.13878063970515,95.68210655251686,0.37288136,"Cam Booser",16061,592155
"Jake Bird","COL",109.98518224063129,94.08797402152345,0.37190083,"Jake Bird",21267,656234
"Ryan Pepiot","TBR",109.12829192417682,99.86149422566935,0.3715847,"Ryan Pepiot",26221,686752
"Logan Gilbert","SEA",96.77942802542546,113.21353866081023,0.37148803,"Logan Gilbert",22250,669302
"Matt Moore","LAA",103.35594817432273,86.58565371024737,0.37142857,"Matt Moore",1890,519043
"Zach Brzykcy","WSN",90.8352936471721,91.28796490839477,0.37142857,"Zach Brzykcy",27783,694350
"José Alvarado","PHI",112.35287676079194,99.75671380657667,0.37134503,"Jose Alvarado",17780,621237
"Taj Bradley","TBR",105.1601942082001,90.03592055011725,0.3713355,"Taj Bradley",22543,671737
"Yariel Rodríguez","TOR",96.27157861036403,94.74662680626855,0.37131631,"Yariel Rodriguez",33838,684320
"Yusei Kikuchi","- - -",100.89549901528719,105.45196956459665,0.37109723,"Yusei Kikuchi",20633,579328
"Paul Sewald","- - -",116.47247410960401,94.7387101910828,0.37089202,"Paul Sewald",13892,623149
"Taylor Rogers","- - -",104.14973224229009,97.64608388811993,0.37078652,"Taylor Rogers",13449,573124
"Kodai Senga","NYM",94.62194580366577,96.77429542182236,0.37060703,"Kodai Senga",31838,673540
"Josh Maciejewski","NYY",85.62104166666666,92.71395833333334,0.37037037,"Josh Maciejewski",21310,656671
"Roddery Muñoz","- - -",97.24377977260552,91.58427632709464,0.37037037,"Roddery Munoz",25311,682610
"Jhoan Duran","MIN",124.98557648958993,91.92555881693625,0.37027027,"Jhoan Duran",21029,661395
"Easton Lucas","- - -",103.32601842763444,90.6866371807544,0.37012987,"Easton Lucas",26058,687922
"Eric Lauer","TOR",93.07931535044956,97.83201061640126,0.36956522,"Eric Lauer",19316,641778
"Tarik Skubal","DET",113.91141729344895,102.81817689384785,0.36940966,"Tarik Skubal",22267,669373
"Bryan King","HOU",99.39422276133315,106.40029568232676,0.36929461,"Bryan King",25890,687911
"Elvin Rodriguez","MIL",93.15008987245764,94.8760965848364,0.36904762,"Elvin Rodriguez",20962,660730
"Ray Kerr","ATL",101.23540469973891,90.93618798955613,0.36893204,"Ray Kerr",23809,678061
"Caleb Thielbar","- - -",112.1413840412613,102.81427526641104,0.36890244,"Caleb Thielbar",10078,573204
"Justin Wilson","- - -",107.60746638142281,95.72695856787065,0.36875,"Justin Wilson",4301,458677
"Grayson Rodriguez","BAL",107.68981549815494,105.60374275171324,0.36863544,"Grayson Rodriguez",24492,680570
"Andrew Walters","CLE",110.22360559964727,83.08735229276897,0.36842105,"Andrew Walters",33834,689958
"Charlie Morton","- - -",98.31338568039881,95.54217025819666,0.36769078,"Charlie Morton",4676,450203
"Seth Halvorsen","COL",111.36067401743306,95.3765951685022,0.36723164,"Seth Halvorsen",33294,678020
"Luke Jackson","- - -",97.87508571815651,105.83694377897984,0.36686391,"Luke Jackson",11752,592426
"Ryan Fernandez","STL",102.65164161624321,92.21870161763732,0.36666667,"Ryan Fernandez",24862,681676
"Ryan Gusto","HOU",100.51232076570952,98.80092065870045,0.36666667,"Ryan Gusto",26440,687473
"Jake Eder","- - -",83.95515151515151,83.48499999999999,0.36666667,"Jake Eder",27590,671109
"Robert Garcia","- - -",102.27495078894393,103.48947659336864,0.36657682,"Robert Garcia",23363,676395
"Tommy Kahnle","- - -",91.77898632049192,89.43341429624016,0.36633663,"Tommy Kahnle",11384,592454
"Phil Maton","- - -",98.14025731307535,100.32059557438822,0.36623377,"Phil Maton",18064,664208
"Trevor Richards","- - -",101.51240961161558,95.62385874782959,0.36610169,"Trevor Richards",19309,670950
"Sam Moll","CIN",105.11525783111465,95.43495136293095,0.36585366,"Sam Moll",14874,594580
"Danny Coulombe","- - -",105.28356246590285,98.98240509638113,0.3655914,"Danny Coulombe",13293,543056
"Spencer Turnbull","- - -",100.1297954118843,102.61912508719179,0.36470588,"Spencer Turnbull",16207,605513
"Shawn Dubin","HOU",96.98475940507436,88.19090113735784,0.36458333,"Shawn Dubin",24977,681869
"Troy Taylor","SEA",106.9772118479201,100.63508134191356,0.36440678,"Troy Taylor",31883,700187
"Brock Burke","- - -",100.61073671170851,95.21862923780097,0.36426117,"Brock Burke",17968,656271
"Eduard Bazardo","SEA",102.91582899756332,101.52530053949761,0.36398467,"Eduard Bazardo",20997,660825
"Daniel Hudson","LAD",101.01190990990985,104.66888288288281,0.36363636,"Daniel Hudson",7146,543339
"Erik Swanson","TOR",94.00767862201822,93.75611668272045,0.36363636,"Erik Swanson",16587,657024
