"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Bido, Osvaldo",674370,2025,".269",".479",".370",".354",".342",".210",".385",".364",".330",".311",".024",".017",".016","71.5",23.1,12,9.7,38,30.7,"7.3",6,"90.3","20.2",32.1,9.2
"Lugo, Seth",607625,2025,".272",".457",".302",".341",".335",".186",".340",".394",".276",".345","-0.054","-0.051","-0.039","71.9",21.6,19.7,16.1,36.3,29.7,"7.4",3,"90.9","14.4",30.2,7.5
"Francis, Bowden",670102,2025,".322",".602",".391",".422",".380",".280",".450",".491",".333",".400","-0.048","-0.012","-0.031","72.2",29.8,20,15.9,36.4,28.8,"7.4",2,"90.7","17.5",33.3,14.6
"Suárez, Albert",544150,2024,".243",".406",".320",".311",".305",".163",".363",".351",".319",".307",".012",".019",".009","71.5",21.1,11.9,9,32.7,24.8,"7.3",10,"88.8","17",38,7.1
"Burke, Sean",680732,2025,".311",".631",".371",".431",".388",".320",".401",".483",".319",".380","-0.050","-0.126","-0.060","72.4",29.7,18.5,13.5,37.8,27.6,"7.4",6,"86.6","14.6",45.1,15.4
"Lively, Ben",594902,2025,".277",".504",".336",".362",".340",".227",".377",".412",".326",".346","-0.016","-0.069","-0.026","71.9",23.7,15,12.8,33.2,28.3,"7.2",4,"91.7","18.8",38,10.9
"Peralta, Freddy",642547,2025,".216",".363",".272",".290",".290",".148",".318",".346",".275",".302","-0.020","-0.034","-0.018","71.3",21.4,7.9,5.6,30.4,21.8,"7.3",10,"88.1","21.4",28.8,7.7
"Cease, Dylan",656302,2025,".246",".428",".355",".319",".312",".182",".458",".402",".409",".345",".047",".035",".036","71.1",20.9,13,9.3,29.8,21.3,"7.4",7,"88.9","16.8",45.5,11.4
"Gallen, Zac",668678,2025,".237",".423",".331",".326",".322",".186",".393",".385",".326",".327","-0.001",".002",".005","72.4",31,18.1,13.3,38.1,28.1,"7.5",8,"90.7","19.6",38,10.9
"Newcomb, Sean",656794,2025,".251",".366",".372",".314",".334",".115",".482",".386",".500",".365",".093",".040",".058","71.8",24.7,11.6,9.3,26.5,21.4,"7.3",1,"91.7","11.7",30.3,7.6
"Castillo, Luis",622491,2024,".244",".404",".305",".306",".298",".160",".374",".376",".322",".330","-0.006",".008","-0.001","71.3",19,13.4,10.1,32,24,"7.2",25,"89.7","16.3",37,8.5
"Quantrill, Cal",615698,2024,".274",".435",".358",".351",".362",".161",".384",".375",".336",".338","-0.001",".026",".007","71.5",23.3,13.8,10.9,32.6,25.6,"7.3",9,"89.1","11.1",37.1,7.3
"Fried, Max",608331,2024,".245",".358",".273",".299",".312",".113",".312",".349",".302",".328","-0.019","-0.043","-0.026","71.2",18.9,13.4,10.6,31.1,24.5,"7.2",29,"86.3","3",30.4,5
"Bassitt, Chris",605135,2025,".247",".359",".284",".286",".293",".112",".359",".363",".344",".345","-0.001","-0.016","-0.002","71.3",16.8,13.4,10.8,26.3,21.1,"7.3",10,"86.7","13",34.4,6.3
"Falter, Bailey",663559,2024,".267",".450",".320",".336",".324",".183",".353",".374",".314",".326","-0.007","-0.026","-0.016","71.9",25.8,15.8,12.9,37.4,30.5,"7.2",15,"90.1","17",36.6,9
"Elder, Bryce",693821,2025,".273",".474",".360",".344",".330",".201",".387",".366",".308",".315","-0.006",".040",".016","72.4",27.6,15,12.7,34,28.7,"7.5",3,"88.2","7.2",26.4,7.7
"Senga, Kodai",673540,2025,".217",".334",".266",".278",".288",".117",".297",".314",".276",".289","-0.009","-0.027","-0.012","71.2",22.8,14.7,11.4,34.1,26.3,"7.4",8,"88.8","13",27.6,5.3
"Webb, Logan",657277,2025,".245",".341",".279",".280",".294",".097",".369",".371",".371",".360",".008","-0.023","-0.001","71.4",22.8,15.9,12,31.8,24,"7.2",7,"88.4","4.3",38.7,4.7
"Civale, Aaron",650644,2024,".243",".393",".327",".309",".308",".151",".385",".359",".329",".319",".009",".047",".018","71.6",22.7,14.1,11.2,33.6,26.6,"7.4",13,"89.4","17.2",36.5,7.3
"Parker, Mitchell",680730,2025,".242",".367",".254",".313",".331",".125",".229",".306",".226",".283","-0.047","-0.111","-0.059","71.6",24.2,17.2,13.9,32.8,26.6,"7.3",6,"88.7","14.3",25,3.4
"Lively, Ben",594902,2024,".240",".400",".315",".309",".305",".159",".352",".344",".302",".302",".001",".019",".006","71.6",21.7,15.7,13,36,29.8,"7.2",13,"90.2","14",30.7,6.5
"Peterson, David",656849,2025,".300",".427",".316",".342",".352",".127",".374",".412",".361",".394","-0.024","-0.049","-0.026","71.3",24.3,19.2,16.1,35.2,29.4,"7.3",8,"92.1","3.5",30.6,5.1
"Cannon, Jonathan",686563,2025,".228",".391",".337",".322",".331",".163",".359",".337",".302",".292",".008",".024",".015","72.1",22.6,15.7,12.6,33.5,27,"7.3",4,"91.4","17",24,10.4
"Hendricks, Kyle",543294,2024,".276",".426",".339",".336",".335",".150",".370",".366",".339",".332",".010",".016",".003","71.5",23,13.8,11.4,31.5,26,"7.4",9,"85.9","13",36.4,7.4
