"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Blanco, Ronel",669854,2024,".226",".391",".276",".309",".307",".164",".315",".366",".260",".313","-0.036","-0.037","-0.033","71.8",26.3,13,9.4,30.7,22.2,"7.5",17,"88.7","16.4",30.1,9.3
"Luzardo, Jesús",666200,2025,".222",".338",".256",".270",".275",".116",".321",".343",".309",".318","-0.006","-0.039","-0.014","71.3",20.6,11.1,7.7,32.7,22.6,"7.4",6,"89.1","12.5",31.9,6.4
"Rea, Colin",607067,2024,".272",".452",".327",".339",".326",".181",".374",".391",".322",".342","-0.014","-0.005","-0.012","72.2",26.6,15.9,13.1,35.2,29,"7.3",16,"90.4","15.2",36.3,8.7
"Pepiot, Ryan",686752,2025,".263",".452",".370",".345",".332",".188",".453",".418",".350",".358",".000",".082",".025","71.9",27.8,18.3,13.7,32.8,24.5,"7.3",8,"90","9.3",36,10
"Crochet, Garrett",676979,2024,".204",".340",".280",".263",".255",".137",".403",".375",".353",".327",".018",".031",".017","71.4",20.6,11.1,7.5,27,18.3,"7.2",20,"88.3","11.1",34.5,9.2
"Wheeler, Zack",554430,2025,".199",".342",".291",".260",".250",".143",".405",".355",".330",".308",".016",".057",".031","71.9",27.4,12.4,8.8,25.8,18.3,"7.2",7,"87.8","16.2",38.7,8.5
"Mize, Casey",663554,2025,".198",".342",".273",".257",".246",".144",".310",".289",".273",".250",".018",".009",".016","72.3",28.5,15.5,11.4,40.8,30.1,"7.2",3,"90","13.3",28.4,6.8
"Webb, Logan",657277,2024,".271",".412",".288",".320",".318",".140",".336",".380",".328",".349","-0.013","-0.057","-0.032","71.9",26,17.7,14.3,36.3,29.2,"7.3",19,"89.8","2.5",32.1,7
"Sears, JP",676664,2024,".243",".442",".324",".324",".304",".200",".362",".362",".310",".300",".008","-0.003",".000","72.5",29.6,16,12.7,33.7,26.8,"7.4",12,"89.3","18.1",32.7,10.2
"Brown, Hunter",686613,2025,".235",".363",".228",".279",".275",".129",".295",".374",".276",".343","-0.046","-0.087","-0.051","71.4",25.1,11,8.1,27.3,20,"7.1",6,"86.1","9.1",32.2,5.7
"Heaney, Andrew",571760,2024,".253",".433",".312",".325",".312",".180",".374",".393",".333",".339","-0.002","-0.023","-0.013","72.1",25.7,14.2,10.6,32.3,24.3,"7.4",20,"89.6","18.2",37.4,8.3
"Lugo, Seth",607625,2024,".243",".389",".278",".300",".295",".147",".323",".354",".297",".317","-0.014","-0.036","-0.022","72",25.7,15,11.9,35.3,27.9,"7.3",23,"88.5","10.7",32.8,8
"Ortiz, Luis",682847,2024,".240",".425",".287",".320",".310",".185",".315",".361",".274",".305","-0.022","-0.053","-0.033","71.7",23.7,11.9,9.5,31.5,25.2,"7.3",13,"89","13.9",34.9,8.8
"Canning, Griffin",656288,2025,".257",".394",".302",".323",".336",".137",".347",".378",".333",".349","-0.011","-0.055","-0.021","72.5",28.4,13.5,9.8,32.1,23.3,"7.4",6,"91.3","9.3",33.3,5.7
"López, Pablo",641154,2024,".239",".389",".306",".297",".288",".150",".387",".373",".345",".331",".013",".018",".009","71.5",20.7,11.5,8.6,29.6,22.1,"7.3",29,"87.9","13.3",35.9,8.2
"Rodriguez, Eduardo",593958,2025,".256",".427",".362",".316",".300",".171",".460",".395",".386",".349",".033",".084",".046","72.2",33.2,14.3,11.2,32.6,25.6,"7.1",6,"87.9","17.6",35.3,6.9
"Pfaadt, Brandon",694297,2025,".303",".493",".314",".360",".342",".190",".371",".433",".324",".386","-0.049","-0.075","-0.046","72.8",33.3,17.2,13.2,33.8,26,"7.4",8,"90.4","10.1",40,9.5
"Keller, Mitch",656605,2025,".307",".471",".300",".367",".372",".164",".320",".412",".303",".380","-0.063","-0.123","-0.067","71.4",21.7,15.1,12.6,32.1,26.8,"7.2",5,"89.4","12.6",39.4,7.3
"Ober, Bailey",641927,2025,".267",".440",".338",".321",".307",".174",".389",".368",".343",".327",".013",".015",".017","72.1",24.8,17.6,13.7,36.9,28.8,"7.5",3,"90.5","20.8",35.2,7.4
"Rodón, Carlos",607074,2025,".197",".341",".253",".285",".292",".144",".304",".362",".239",".312","-0.043","-0.040","-0.032","71.8",24.9,9.7,6.9,32.4,23.3,"7.4",7,"89.5","12.4",30.1,6.5
"Nelson, Ryne",669194,2024,".267",".413",".322",".315",".311",".146",".380",".370",".334",".338","-0.001",".033",".007","71.1",20.4,14.1,11.7,32.9,27.4,"7",18,"90.1","12",34.5,7.5
"Lorenzen, Michael",547179,2024,".243",".413",".303",".329",".334",".170",".314",".352",".271",".305","-0.027","-0.041","-0.026","71.6",22.1,14.5,11.4,33.9,26.6,"7.3",13,"88.5","15.1",32.2,8
"Kelly, Merrill",518876,2025,".269",".490",".290",".358",".339",".221",".310",".404",".247",".338","-0.072","-0.113","-0.068","72.2",32.4,18.3,15,34.3,28.2,"7.4",10,"90.4","13.7",29.9,11.3
"Roupp, Landen",694738,2025,".231",".358",".341",".295",".306",".127",".435",".363",".400",".333",".049",".062",".046","71.9",24.2,12.9,8.5,32.7,21.6,"7.7",7,"86.3","13.3",39.4,4.2
