Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Freylin Garcia",,0.0462,0.0516,0,4.58874,1,0,0,0,,1,4.405,0.9997,0.5479,0.50986,0.132556,0.4614,0.0254,0.0435,0.8523,7.6707,4.1526,1.8472,1.193,0.193485,0.104745,0.08874005824327469,0.256327,1.4611,0.297452,0.715942,0.422006,,4.6998,-0.00421316,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Freylin Garcia","sa941791",671223
"Brandon Finnegan",,0.0443,0.0619,0.0231,4.67433,0.7122,0.0612,0,0,,1,4.411,1.007,0.5568,0.51937,0.148222,0.4613,0.0175,0.0424,0.839,7.551,4.1517,1.81877,1.334,0.190206,0.104579,0.08562684059143066,0.257723,1.4683,0.294094,0.72296,0.407731,,4.92647,-0.00422153,-0.0473908,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brandon Finnegan","16208",605232
"Kevin Gowdy","TOR",0.0479,0.0526,0.0073,4.47075,0.9101,0.0191,0,0,,1,4.419,1.0356,0.5397,0.49675,0.115222,0.4393,0.023,0.0557,0.7516,6.7644,3.9537,1.7109,1.037,0.170084,0.0994116,0.07067210227251053,0.263914,1.4749,0.301055,0.711943,0.495141,,4.64617,-0.00422917,-0.0502546,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kevin Gowdy","sa917928",666151
"Cristian Hernandez","NYY",0.0484,0.0521,0.007,4.56381,0.9085,0.0195,0,0,,1,4.333,1.0058,0.542,0.50709,0.163444,0.3451,0.0225,0.0495,0.8385,7.5465,3.1059,2.42973,1.471,0.193515,0.0796446,0.1138703003525734,0.255383,1.3509,0.286861,0.720895,0.382483,,4.79806,-0.00423252,-0.0489222,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Cristian Hernandez","sa3005836",678707
"Lisandro Santos",,0.0481,0.0497,0,4.4487,1,0,0,0,,1,4.421,0.9632,0.5315,0.4943,0.140778,0.4977,0.0255,0.0427,0.9103,8.1927,4.4793,1.82901,1.267,0.205904,0.112576,0.09332730621099472,0.248209,1.4609,0.290658,0.735395,0.406196,,4.79719,-0.00424339,-0.0489415,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Lisandro Santos","sa945728",670873
"Joan Adon","WSN",0.6096,0.6625,0,4.19491,13,0,0,0.6308,,13,56.059,12.7199,6.5511,6.05931,1.64233,4.9447,0.8324,0.7472,10.9162,7.55737,3.42325,2.20766,1.137,0.194727,0.0882053,0.10652170330286026,0.252544,1.35882,0.292991,0.723284,0.440912,,4.44291,-0.00424451,-0.0138673,999,,,,,,,45.8,3.523076923076923,47,3.6153846153846154,8.38,6.33,5.17,4.35,3.7,3.14,2.64,2.16,1.63,5.22,4.96,4.78,4.64,4.5,4.37,4.24,4.09,3.88,"Joan Adon","22925",672851
"Yoelvin Silven",,0.0461,0.0517,0,4.61178,1,0,0,0,,1,4.376,1.0348,0.5506,0.51242,0.137889,0.3964,0.0253,0.0424,0.7862,7.0758,3.5676,1.98335,1.241,0.179662,0.090585,0.08907678723335266,0.262826,1.4312,0.297669,0.711219,0.423993,,4.70304,-0.00424985,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Yoelvin Silven","sa3006619",681185
"Chris Muller",,0.0465,0.0514,0,4.5396,1,0,0,0,,1,4.398,0.9841,0.5422,0.5044,0.133,0.469,0.0254,0.0421,0.8628,7.7652,4.221,1.83966,1.197,0.19618,0.106639,0.08954069763422012,0.253184,1.4531,0.294386,0.718999,0.416982,,4.70318,-0.00425149,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chris Muller","sa3006811",676726
"Colton Johnson","ATH",0.0473,0.0506,0,4.25682,1,0,0,0,,1,4.369,0.9745,0.5118,0.47298,0.123,0.4608,0.0252,0.0445,0.8502,7.6518,4.1472,1.84505,1.107,0.194598,0.10547,0.08912794291973114,0.252219,1.4353,0.294586,0.731138,0.441092,,4.58098,-0.00425193,-0.0516654,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Colton Johnson","sa3017750",687439
"Joey Marciano",,0.0488,0.0551,0.0179,4.40136,0.7889,0.0449,0,0,,1,4.434,0.9938,0.5304,0.48904,0.115778,0.5065,0.0198,0.0494,0.8179,7.3611,4.5585,1.61481,1.042,0.184461,0.114231,0.07023003697395325,0.25626,1.5003,0.298198,0.724774,0.466983,,4.70349,-0.00425502,-0.0476151,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Joey Marciano","sa3004637",664006
"Joakim Soria",,0.0461,0.0517,0,4.65957,1,0,0,0,,1,4.338,1.018,0.5506,0.51773,0.158556,0.3483,0.027,0.0419,0.8469,7.6221,3.1347,2.43152,1.427,0.195228,0.0802905,0.11493775993585587,0.257865,1.3663,0.292095,0.712824,0.347,,4.7045,-0.00425627,-0.0476055,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Joakim Soria","6941",465657
"Jake Wong",,0.0462,0.0516,0,4.56957,1,0,0,0,,1,4.39,1.0426,0.5482,0.50773,0.128,0.4149,0.0252,0.0429,0.7498,6.7482,3.7341,1.80718,1.152,0.170797,0.0945103,0.07628701627254486,0.265144,1.4575,0.299437,0.711335,0.45699,,4.70428,-0.00426397,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jake Wong","23095",673858
"Ty Buttrey",,0.0462,0.0516,0,4.57794,1,0,0,0,,1,4.398,1.0198,0.5479,0.50866,0.131,0.4371,0.0288,0.0424,0.8008,7.2072,3.9339,1.83208,1.179,0.182083,0.0993861,0.08269669860601425,0.260253,1.4569,0.297586,0.713781,0.439005,,4.70638,-0.00428779,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ty Buttrey","14719",621142
"Hansel Robles",,0.0463,0.0516,0,4.60422,1,0,0,0,,1,4.396,0.9686,0.5469,0.51158,0.141444,0.4698,0.0267,0.0453,0.9218,8.2962,4.2282,1.96211,1.273,0.209691,0.10687,0.1028207466006279,0.249581,1.4384,0.293562,0.718733,0.384006,,4.70696,-0.00429435,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Hansel Robles","11801",570663
"Clay Aguilar",,0.0481,0.0498,0,4.46517,1,0,0,0,,1,4.419,0.9713,0.5331,0.49613,0.142111,0.4677,0.0255,0.0602,0.8979,8.0811,4.2093,1.91982,1.279,0.203191,0.105838,0.09735233336687088,0.249621,1.439,0.290832,0.730538,0.405618,,4.80182,-0.00429447,-0.0489415,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Clay Aguilar","sa3015003",679711
"Trey Jeans",,0.0476,0.053,0.0078,4.48281,0.9052,0.0202,0,0,,1,4.411,0.9766,0.5352,0.49809,0.132333,0.4804,0.0228,0.0494,0.8841,7.9569,4.3236,1.84034,1.191,0.200431,0.10891,0.09152120351791382,0.251623,1.457,0.294707,0.724837,0.403991,,4.70801,-0.00430633,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Trey Jeans","sa3010265",690344
"Erich Uelmen",,0.0463,0.0515,0,4.55103,1,0,0,0,,1,4.407,1.0249,0.546,0.50567,0.124889,0.4305,0.0258,0.0618,0.7794,7.0146,3.8745,1.81045,1.124,0.176855,0.0976855,0.07916949689388275,0.261808,1.4554,0.298966,0.71016,0.458008,,4.70814,-0.00430771,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Erich Uelmen","20323",657272
"Ty Tice",,0.0465,0.0514,0,4.54482,1,0,0,0,,1,4.413,0.9715,0.5425,0.50498,0.131556,0.4906,0.0252,0.0471,0.8907,8.0163,4.4154,1.81553,1.184,0.201835,0.111172,0.09066394716501236,0.25069,1.4621,0.294403,0.719606,0.413007,,4.7084,-0.00431074,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ty Tice","20177",676709
"Nash Walters",,0.0463,0.0515,0,4.57992,1,0,0,0,,1,4.38,1.004,0.5459,0.50888,0.139,0.4201,0.0253,0.0483,0.8349,7.5141,3.7809,1.98738,1.251,0.190616,0.0959132,0.09470320492982864,0.256672,1.4241,0.294448,0.714274,0.407998,,4.70888,-0.00431616,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nash Walters","25413",663534
"Jake Fishman",,0.0466,0.0513,0,4.50144,1,0,0,0,,1,4.394,1.0599,0.5403,0.50016,0.127667,0.3742,0.025,0.0618,0.7123,6.4107,3.3678,1.90353,1.149,0.162107,0.0851616,0.07694584131240845,0.267787,1.4341,0.298981,0.711983,0.447995,,4.70955,-0.00432372,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jake Fishman","20060",670288
"Barrett Loseke","NYY",0.0475,0.0504,0,4.60305,1,0,0,0,,1,4.361,0.9926,0.546,0.51145,0.161,0.3955,0.0252,0.0409,0.8813,7.9317,3.5595,2.22832,1.449,0.202087,0.0906902,0.11139646172523499,0.252917,1.3881,0.28852,0.724262,0.375215,,4.80608,-0.00433118,-0.0489318,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Barrett Loseke","sa3008243",667435
"Reyes Moronta",,0.0465,0.0514,0,4.57713,1,0,0,0,,1,4.396,0.9341,0.5421,0.50857,0.145444,0.493,0.0253,0.042,0.9758,8.7822,4.437,1.97931,1.309,0.221975,0.112147,0.10982711613178253,0.241932,1.4271,0.287856,0.723348,0.349001,,4.71066,-0.00433633,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Reyes Moronta","14966",606625
"Drew VerHagen",,0.0461,0.0517,0,4.63437,1,0,0,0,,1,4.376,0.9985,0.5505,0.51493,0.144222,0.4108,0.0264,0.0566,0.8652,7.7868,3.6972,2.10613,1.298,0.197715,0.0938757,0.10383911430835724,0.255462,1.4093,0.294662,0.711287,0.390012,,4.71317,-0.00436482,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Drew VerHagen","13424",572403
"Andy Otero",,0.0498,0.0598,0.0355,4.51098,0.5902,0.0872,0,0,,1,4.366,1.0553,0.541,0.50122,0.139556,0.3633,0.0141,0.0419,0.7307,6.5763,3.2697,2.01129,1.256,0.167361,0.0832112,0.08415024727582932,0.266436,1.4186,0.296305,0.717449,0.440586,,4.7349,-0.0043662,-0.0470312,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Andy Otero","sa506550",554241
"Pedro Garcia",,0.0454,0.0524,0,4.89015,1,0,0,0,,1,4.433,0.9849,0.5788,0.54335,0.164111,0.4737,0.0256,0.0568,0.9468,8.5212,4.2633,1.99873,1.477,0.21358,0.106858,0.10672231763601303,0.252377,1.4586,0.294022,0.715957,0.38541,,4.99782,-0.00437292,-0.0416075,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Pedro Garcia","sa3011805",690345
"Taylor Widener",,0.0467,0.0512,0,4.54995,1,0,0,0,,1,4.335,0.9897,0.5381,0.50555,0.157778,0.3653,0.0597,0.053,0.8793,7.9137,3.2877,2.40706,1.42,0.202837,0.0842676,0.11856977641582489,0.252687,1.355,0.2889,0.7203,0.347004,,4.71389,-0.00437301,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Taylor Widener","19266",642203
"Yadier Álvarez",,0.0462,0.0516,0,4.57911,1,0,0,0,,1,4.433,0.9988,0.5485,0.50879,0.124444,0.494,0.0256,0.0478,0.8478,7.6302,4.446,1.71619,1.12,0.191247,0.111437,0.07981051504611969,0.256682,1.4928,0.299544,0.71615,0.44601,,4.71406,-0.0043749,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Yadier Alvarez","sa868984",665751
